stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,instance,family,activation,dim,modules,threshold_label,t
+D_parent,38,38,38.0,38.0,38.0,38.0,0.000727103091776371,0.0,16,,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9,tight_true,-0.13750000000000012
+D_drop,315,38,19.0,19.0,19.0,19.0,0.004181774333119392,0.0,16,,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9,tight_true,-0.13750000000000012
D_transfer,24,24,24.0,24.0,24.0,24.0,0.0007618656381964684,0.0,16,,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5,tight_true,-0.10000000000000005
+D_parent,24,24,24.0,24.0,24.0,24.0,0.0006883293390274048,0.0,16,,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5,tight_true,-0.10000000000000005
+D_drop,95,24,12.0,12.0,12.0,12.0,0.0034820428118109703,0.0,9,,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5,tight_true,-0.10000000000000005
D_transfer,25,25,25.0,25.0,25.0,25.0,0.0007583452388644218,0.0,16,,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5,tight_true,-0.13750000000000004
+D_parent,25,25,25.0,25.0,25.0,25.0,0.0006890101358294487,0.0,16,,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5,tight_true,-0.13750000000000004
+D_drop,98,25,13.0,13.0,13.0,13.0,0.003351854160428047,0.0,10,,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5,tight_true,-0.13750000000000004
D_transfer,65,65,65.0,65.0,65.0,65.0,0.0008694939315319061,0.0,16,,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7,tight_true,-0.10000000000000007
+D_parent,65,65,65.0,65.0,65.0,65.0,0.0007996279746294022,0.0,16,,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7,tight_true,-0.10000000000000007
+D_drop,359,65,33.0,34.0,33.0,34.0,0.004577532410621643,0.0,16,,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7,tight_true,-0.10000000000000007
D_transfer,54,54,54.0,54.0,54.0,54.0,0.0008364403620362282,0.0,16,,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7,tight_true,-0.13750000000000004
+D_parent,54,54,54.0,54.0,54.0,54.0,0.0007681353017687798,0.0,16,,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7,tight_true,-0.13750000000000004
+D_drop,307,54,27.0,29.0,27.0,29.0,0.003880162723362446,0.0,16,,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7,tight_true,-0.13750000000000004
D_transfer,104,104,104.0,104.0,104.0,104.0,0.000988861545920372,0.0,16,,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9,tight_true,-0.10000000000000005
+D_parent,104,104,104.0,104.0,104.0,104.0,0.0009258780628442764,0.0,16,,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9,tight_true,-0.10000000000000005
+D_drop,384,104,70.0,72.0,70.0,72.0,0.005365140736103058,0.0,16,,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9,tight_true,-0.10000000000000005
D_transfer,100,100,100.0,100.0,100.0,100.0,0.0009873025119304657,0.0,16,,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9,tight_true,-0.13750000000000004
+D_parent,100,100,100.0,100.0,100.0,100.0,0.0009095063433051109,0.0,16,,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9,tight_true,-0.13750000000000004
+D_drop,384,100,66.0,66.0,66.0,66.0,0.005580456927418709,0.0,16,,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9,tight_true,-0.13750000000000004
D_transfer,20,20,20.0,20.0,20.0,20.0,0.0007177321240305901,0.0,16,,ThresholdStress_d2_M6_seed0,ThresholdStress,positive_abs_relu_mix,2,6,margin_true,0.0
+D_parent,20,20,20.0,20.0,20.0,20.0,0.0006894096732139587,0.0,16,,ThresholdStress_d2_M6_seed0,ThresholdStress,positive_abs_relu_mix,2,6,margin_true,0.0
+D_drop,108,20,10.0,10.0,10.0,10.0,0.004188935272395611,0.0,9,,ThresholdStress_d2_M6_seed0,ThresholdStress,positive_abs_relu_mix,2,6,margin_true,0.0
D_transfer,33,33,33.0,33.0,33.0,33.0,0.0007995478808879852,0.0,16,,ThresholdStress_d2_M8_seed0,ThresholdStress,positive_abs_relu_mix,2,8,margin_true,0.0
+D_parent,33,33,33.0,33.0,33.0,33.0,0.0007213214412331581,0.0,16,,ThresholdStress_d2_M8_seed0,ThresholdStress,positive_abs_relu_mix,2,8,margin_true,0.0
+D_drop,241,33,17.0,17.0,17.0,17.0,0.0038955137133598328,0.0,16,,ThresholdStress_d2_M8_seed0,ThresholdStress,positive_abs_relu_mix,2,8,margin_true,0.0
D_transfer,33,33,33.0,33.0,33.0,33.0,0.0007646661251783371,0.0,16,,ThresholdStress_d3_M6_seed0,ThresholdStress,positive_abs_relu_mix,3,6,margin_true,0.0
+D_parent,33,33,33.0,33.0,33.0,33.0,0.0007135318592190742,0.0,16,,ThresholdStress_d3_M6_seed0,ThresholdStress,positive_abs_relu_mix,3,6,margin_true,0.0
+D_drop,161,33,17.0,18.0,17.0,18.0,0.003644975833594799,0.0,12,,ThresholdStress_d3_M6_seed0,ThresholdStress,positive_abs_relu_mix,3,6,margin_true,0.0
D_transfer,66,66,66.0,66.0,66.0,66.0,0.0008871247991919518,0.0,16,,ThresholdStress_d3_M8_seed0,ThresholdStress,positive_abs_relu_mix,3,8,margin_true,0.0
+D_parent,66,66,66.0,66.0,66.0,66.0,0.0008109090849757195,0.0,16,,ThresholdStress_d3_M8_seed0,ThresholdStress,positive_abs_relu_mix,3,8,margin_true,0.0
+D_drop,384,66,34.0,35.0,34.0,35.0,0.004572782665491104,0.0,16,,ThresholdStress_d3_M8_seed0,ThresholdStress,positive_abs_relu_mix,3,8,margin_true,0.0
