stage,dictionary_size_N,atomic_universe_size_m,OPT_exposed_milp,greedy,lp_rounding,local_cleanup,T_min_milp,timeout_rate,instance,family,activation,dim,modules
+D_drop,4757,38,2.0,2.0,2.0,2.0,0.10205315984785557,0.0,SelectionStress_d2_Hid8_relu_seed0,SelectionStress,visible_relu,2,9
D_leaf,38,38,38.0,38.0,38.0,38.0,0.000810558907687664,0.0,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9
D_leaf+D_frag,3840,38,38.0,38.0,38.0,38.0,0.07213902287185192,0.0,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9
+D_parent,3988,38,2.0,2.0,2.0,2.0,0.074879951775074,0.0,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9
+D_drop,3988,38,2.0,2.0,2.0,2.0,0.07514317240566015,0.0,SelectionStress_d2_Hid8_maxout_seed0,SelectionStress,visible_maxout,2,9
D_leaf,24,24,24.0,24.0,24.0,24.0,0.0007606055587530136,0.0,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5
D_leaf+D_frag,448,24,24.0,24.0,24.0,24.0,0.0025701671838760376,0.0,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5
+D_parent,501,24,2.0,2.0,2.0,2.0,0.0030474821105599403,0.0,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5
+D_drop,560,24,2.0,2.0,2.0,2.0,0.0035293875262141228,0.0,SelectionStress_d3_Hid4_relu_seed0,SelectionStress,visible_relu,3,5
D_leaf,25,25,25.0,25.0,25.0,25.0,0.0007766755297780037,0.0,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5
D_leaf+D_frag,434,25,25.0,25.0,25.0,25.0,0.002546214498579502,0.0,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5
+D_parent,488,25,2.0,2.0,2.0,2.0,0.002988927997648716,0.0,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5
+D_drop,562,25,2.0,2.0,2.0,2.0,0.0036120032891631126,0.0,SelectionStress_d3_Hid4_maxout_seed0,SelectionStress,visible_maxout,3,5
D_leaf,65,65,65.0,65.0,65.0,65.0,0.0008994946256279945,0.0,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7
D_leaf+D_frag,5500,65,65.0,65.0,65.0,65.0,0.08535428624600172,0.0,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7
+D_parent,5643,65,15.0,15.0,15.0,15.0,0.08782746642827988,0.0,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7
+D_drop,5643,65,15.0,15.0,15.0,15.0,0.08781606517732143,0.0,SelectionStress_d3_Hid6_relu_seed0,SelectionStress,visible_relu,3,7
D_leaf,54,54,54.0,54.0,54.0,54.0,0.000849282369017601,0.0,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7
D_leaf+D_frag,3506,54,54.0,54.0,54.0,54.0,0.046273800544440746,0.0,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7
+D_parent,3654,54,2.0,2.0,2.0,2.0,0.04859862942248583,0.0,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7
+D_drop,3654,54,2.0,2.0,2.0,2.0,0.048773402348160744,0.0,SelectionStress_d3_Hid6_maxout_seed0,SelectionStress,visible_maxout,3,7
D_leaf,104,104,104.0,104.0,104.0,104.0,0.0011025993153452873,0.0,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9
D_leaf+D_frag,42268,104,104.0,104.0,104.0,104.0,5.151412641629577,0.0,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9
+D_parent,42602,104,2.0,2.0,2.0,2.0,5.163244282826781,0.0,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9
+D_drop,42602,104,2.0,2.0,2.0,2.0,5.152902331203222,0.0,SelectionStress_d3_Hid8_relu_seed0,SelectionStress,visible_relu,3,9
D_leaf,100,100,100.0,100.0,100.0,100.0,0.001061667688190937,0.0,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9
D_leaf+D_frag,31352,100,100.0,100.0,100.0,100.0,2.975907325744629,0.0,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9
+D_parent,31675,100,2.0,2.0,2.0,2.0,2.9920365726575255,0.0,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9
+D_drop,31675,100,2.0,2.0,2.0,2.0,2.995637512765825,0.0,SelectionStress_d3_Hid8_maxout_seed0,SelectionStress,visible_maxout,3,9
