instance,family,activation,dim,modules,threshold_label,task_kind,threshold_reference,t,g_min,threshold_margin,is_true_threshold,n_violating_live_leaves,U_ge_transfer,dict_size_thr_transfer,dict_size_thr_parent,dict_size_thr_drop,dict_size_thr_mix,dict_size_threshold_union,OPT_ge_exposed_milp,OPT_ge_exposed_greedy,OPT_ge_exposed_lp_rounding,LB_ge_omega_common,LB_ge_chi_exact_common,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,LB_ge_omega,LB_ge_chi_exact,T_min_ge_milp,timeout_ge_milp,false_control_behavior,OPT_ge_over_OPT_eq,gap_transfer_over_opt,gap_opt_over_lb_exposed,true_VAC_ge_L_grd
FamilyA_d2_M6_relu_seed2,FamilyA,relu,2,6,tight_true,canonical_true,g_min,-1.605,-1.605,0.0,True,0,20.0,20,0,108,0,108,12.0,12.0,12.0,1,,12,,12,,0.003974439576268196,False,finite_cover,0.631578947368421,1.6666666666666667,1.0,
FamilyA_d2_M6_relu_seed2,FamilyA,relu,2,6,false_control,false_control,g_min_plus_delta,-1.585,-1.605,-0.020000000000000018,False,3,inf,17,0,89,0,89,inf,inf,inf,7,,14,,14,,0.0007164720445871353,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_leakyrelu_seed0,FamilyA,leakyrelu,2,6,tight_true,canonical_true,g_min,-0.2986666666666667,-0.2986666666666667,0.0,True,0,20.0,20,0,108,0,108,10.0,10.0,10.0,1,,9,,9,,0.003969788551330566,False,finite_cover,0.5,2.0,1.1111111111111112,
FamilyA_d2_M6_leakyrelu_seed0,FamilyA,leakyrelu,2,6,false_control,false_control,g_min_plus_delta,-0.2786666666666667,-0.2986666666666667,-0.020000000000000018,False,2,inf,18,0,95,0,95,inf,inf,inf,4,,10,,10,,0.0007258038967847824,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_leakyrelu_seed1,FamilyA,leakyrelu,2,6,tight_true,canonical_true,g_min,-0.9515,-0.9515,0.0,True,0,18.0,18,0,98,0,98,9.0,9.0,9.0,1,,8,,8,,0.004305393435060978,False,finite_cover,0.5,2.0,1.125,
FamilyA_d2_M6_leakyrelu_seed1,FamilyA,leakyrelu,2,6,false_control,false_control,g_min_plus_delta,-0.9315,-0.9515,-0.020000000000000018,False,1,inf,17,0,91,0,91,inf,inf,inf,4,,9,,9,,0.000750894658267498,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_leakyrelu_seed2,FamilyA,leakyrelu,2,6,tight_true,canonical_true,g_min,-1.90425,-1.90425,0.0,True,0,20.0,20,0,108,0,108,12.0,12.0,12.0,1,,12,,12,,0.004235987551510334,False,finite_cover,0.631578947368421,1.6666666666666667,1.0,
FamilyA_d2_M6_leakyrelu_seed2,FamilyA,leakyrelu,2,6,false_control,false_control,g_min_plus_delta,-1.88425,-1.90425,-0.020000000000000018,False,3,inf,17,0,89,0,89,inf,inf,inf,7,,14,,14,,0.0007257228717207909,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_abs_seed0,FamilyA,abs,2,6,tight_true,canonical_true,g_min,0.345,0.345,0.0,True,0,20.0,20,0,108,0,108,10.0,10.0,10.0,1,,9,,9,,0.0041962359100580215,False,finite_cover,0.5,2.0,1.1111111111111112,
FamilyA_d2_M6_abs_seed0,FamilyA,abs,2,6,false_control,false_control,g_min_plus_delta,0.365,0.345,-0.020000000000000018,False,10,inf,10,0,52,0,52,inf,inf,inf,13,,15,,15,,0.0006940504536032677,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_abs_seed1,FamilyA,abs,2,6,tight_true,canonical_true,g_min,0.1499999999999999,0.1499999999999999,0.0,True,0,18.0,18,0,98,0,98,9.0,9.0,9.0,1,,8,,8,,0.004358828067779541,False,finite_cover,0.5,2.0,1.125,
FamilyA_d2_M6_abs_seed1,FamilyA,abs,2,6,false_control,false_control,g_min_plus_delta,0.1699999999999999,0.1499999999999999,-0.01999999999999999,False,7,inf,11,0,58,0,58,inf,inf,inf,10,,13,,13,,0.0006999112665653229,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_abs_seed2,FamilyA,abs,2,6,tight_true,canonical_true,g_min,0.485,0.485,0.0,True,0,20.0,20,0,108,0,108,12.0,12.0,12.0,1,,12,,12,,0.004166892729699612,False,finite_cover,0.631578947368421,1.6666666666666667,1.0,
FamilyA_d2_M6_abs_seed2,FamilyA,abs,2,6,false_control,false_control,g_min_plus_delta,0.505,0.485,-0.020000000000000018,False,4,inf,16,0,84,0,84,inf,inf,inf,8,,14,,14,,0.0007421839982271194,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_maxout_seed0,FamilyA,maxout,2,6,tight_true,canonical_true,g_min,0.2845833333333333,0.2845833333333333,0.0,True,0,18.0,18,0,98,0,98,10.0,10.0,10.0,1,,10,,10,,0.004427172243595123,False,finite_cover,0.5555555555555556,1.8,1.0,
FamilyA_d2_M6_maxout_seed0,FamilyA,maxout,2,6,false_control,false_control,g_min_plus_delta,0.3045833333333333,0.2845833333333333,-0.020000000000000018,False,4,inf,14,0,74,0,74,inf,inf,inf,6,,12,,12,,0.0007230332121253014,False,no_finite_cover_or_timeout,,,,
